ee,pp
198301,4590
198302,4930
198303,5300
198304,0
198305,0
198306,5000
198307,5085
198308,0
198309,5065
198310,5165
198311,0
198312,4970
198401,5250
198402,0
198403,5675
198404,0
198405,0
198406,5680
198407,5525
198408,5180
198409,5415
198410,0
198411,0
198412,4570
198501,0
198502,0
198503,4845
198504,0
198505,0
198506,4315
198507,0
198508,4415
198509,4500
198510,0
198511,4805
198512,4495
198601,4590
198602,4840
198603,0
198604,4510
198605,0
198606,0
198607,3675
198608,3905
198609,4270
198610,4450
198611,4580
198612,4405
198701,0
198702,4595
198703,0
198704,0
198705,4500
198706,4220
198707,0
198708,4275
198709,4320
198710,4005
198711,4170
198712,3950
198801,4135
198802,0
198803,4605
198804,0
198805,4535
198806,0
198807,0
198808,0
198809,0
198810,4415
198811,0
198812,4380
198901,4210
198902,0
198903,3705
198904,0
198905,0
198906,0
198907,0
198908,3675
198909,3700
198910,3915
198911,0
198912,0
199001,4405
199002,0
199003,0
199004,0
199005,4505
199006,0
199007,4130
199008,4145
199009,4150
199010,0
199011,0
199012,0
199101,4085
199102,4155
199103,4255
199104,4230
199105,3875
199106,0
199107,3940
199108,3805
199109,3760
199110,0
199111,3865
199112,3615
199201,3625
199202,0
199203,3870
199204,0
199205,0
199206,3725
199207,0
199208,3505
199209,3575
199210,0
199211,0
199212,0
199301,3480
199302,0
199303,0
199304,0
199305,0
199306,3900
199307,3735
199308,3640
199309,3770
199310,3940
199311,0
199312,3870
199401,0
